Trade#,Rank,Strategy,TotalPnL_Percent,WinRate_Percent,TokenAddress,TokenSymbol,TokenName,Chain,Caller,AlertTime,EntryPrice,ExitPrice,PnL_Multiplier,PnL_Percent,Max_Multiplier_Reached,HoldDuration_Minutes,TimeToAth_Minutes,CandlesCount
11,3,Strategy_3949,52.24,11.76,dgU3DSSTFyHx4j5MKx94V3BB6jMse7EQpGDi6zUuULt,UNKNOWN,Unknown Token,solana,Unknown,2025-07-28T16:06:47.000Z,0.00105325,0.00063195,0.6000,-40.00,2.5047,10070,50,635
12,3,Strategy_3949,52.24,11.76,5hUL8iHMXcUj9AS7yBErJmmTXyRvbdwwUqbtB2udjups,UNKNOWN,Unknown Token,solana,Unknown,2025-07-31T06:52:57.000Z,0.00240579,0.00144347,0.6000,-40.00,1.1612,10025,135,234
13,3,Strategy_3949,52.24,11.76,6pcSWu35Dw4qZjtcn1sdeSHXzxNaY3JVege6xn59DEpQ,UNKNOWN,Unknown Token,solana,Unknown,2025-07-31T18:17:10.000Z,0.00021395,0.00012837,0.6000,-40.00,1.4173,10060,25,234
14,3,Strategy_3949,52.24,11.76,76jtf8RVt6e8aMfVRvYXoV2iBggqMXotEyUjmAHdjups,UNKNOWN,Unknown Token,solana,Unknown,2025-08-02T01:13:10.000Z,0.00014778,0.00008867,0.6000,-40.00,1.3746,10065,5,234
15,3,Strategy_3949,52.24,11.76,9mAnyxAq8JQieHT7Lc47PVQbTK7ZVaaog8LwAbFzBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-02T11:56:04.000Z,0.00187315,0.00112389,0.6000,-40.00,2.9878,10020,600,1153
16,3,Strategy_3949,52.24,11.76,JD5GYKm5dQ7JbTagEvddDuk671VzZdGtDpQt2MM6y8RH,UNKNOWN,Unknown Token,solana,Unknown,2025-08-02T22:15:21.000Z,0.00004441,0.00002665,0.6000,-40.00,2.1065,10060,120,234
17,3,Strategy_3949,52.24,11.76,9a5DxpveEUcPKjcULbHU1YMDq5FwUZFtPLxw6YRGBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-03T09:45:59.000Z,0.00012984,0.00007790,0.6000,-40.00,1.2278,10030,5,234
18,3,Strategy_3949,52.24,11.76,5Ste2CMTfyJt2eu1uFYLKrZXTLpAfQ5JEqem2eTjjups,UNKNOWN,Unknown Token,solana,Unknown,2025-08-04T08:37:26.000Z,0.00131718,0.00079031,0.6000,-40.00,1.4425,10040,250,234
19,3,Strategy_3949,52.24,11.76,5zCETicUCJqJ5Z3wbfFPZqtSpHPYqnggs1wX7ZRpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-05T08:09:46.000Z,0.00033195,0.04812200,144.9674,14396.74,223.8418,10070,9590,2994
20,3,Strategy_3949,52.24,11.76,5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,UNKNOWN,Unknown Token,solana,Unknown,2025-08-05T11:44:36.000Z,0.11614992,0.16565511,1.4262,42.62,2.2275,10035,5595,445
21,3,Strategy_3949,52.24,11.76,7oLWGMuGbBm9uwDmffSdxLE98YChFAH1UdY5XpKYLff8,UNKNOWN,Unknown Token,solana,Unknown,2025-08-05T14:32:52.000Z,0.00256921,0.00154153,0.6000,-40.00,4.4064,10045,1345,438
22,3,Strategy_3949,52.24,11.76,DHNfLi9ad4L9ebZZ6MPcmJbezBcs5ksCx9JFFf1LmF2N,UNKNOWN,Unknown Token,solana,Unknown,2025-08-05T20:27:30.000Z,0.00021490,0.00012894,0.6000,-40.00,1.3615,10050,0,234
23,3,Strategy_3949,52.24,11.76,5ghpHpgiew7WuuKY1f3CSMgGHmDiZUeMjZrgDrfzBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-05T20:52:24.000Z,0.00158346,0.00095007,0.6000,-40.00,1.1976,10025,4805,234
24,3,Strategy_3949,52.24,11.76,ArzbUA9b1dq47j4RaFR728Fxkvb5hDBDLd7GJtwWpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-06T10:26:02.000Z,0.00006350,0.00003810,0.6000,-40.00,1.9504,10050,0,234
25,3,Strategy_3949,52.24,11.76,83xk8Zz5nwq5W6RkEPJLwPL9rr951xt8XjSDha9irzK5,UNKNOWN,Unknown Token,solana,Unknown,2025-08-07T06:46:23.000Z,0.00001296,0.00001254,0.9677,-3.23,23.4902,10030,7510,234
26,3,Strategy_3949,52.24,11.76,Cz7LGKdZPpAxonXx23ZYPW3RtDQvjcf17ZDCZEzFpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-07T13:02:39.000Z,0.00011765,0.00007059,0.6000,-40.00,1.5299,10075,80,234
27,3,Strategy_3949,52.24,11.76,CMx7yon2cLzHcXqgHsKJhuU3MmME6noWLQk2rAycBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-07T16:42:56.000Z,0.00797416,0.00478449,0.6000,-40.00,1.5885,10035,230,234
28,3,Strategy_3949,52.24,11.76,ESBCnCXtEZDmX8QnHU6qMZXd9mvjSAZVoYaLKKADBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-07T22:59:21.000Z,0.00318168,0.00396870,1.2474,24.74,7.2380,10020,3000,1577
29,3,Strategy_3949,52.24,11.76,2kBaWJjNf2XiEWjg4qhWtTXoVN5EvJAvZPv8vyWB8A4M,UNKNOWN,Unknown Token,solana,Unknown,2025-08-07T23:49:19.000Z,0.00008628,0.00005177,0.6000,-40.00,2.9637,10030,610,468
30,3,Strategy_3949,52.24,11.76,7obhQyME8iSNktCbCAtiLCpgv3cVqW1PWd31v4Egpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-08T13:13:59.000Z,0.00340697,0.00204418,0.6000,-40.00,1.0477,10065,5,402
31,3,Strategy_3949,52.24,11.76,4H2Qjr8rsCj5MpaJXoVyJUC6XkaDupqEAre3r4JqBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-08T15:23:20.000Z,0.00044145,0.00026487,0.6000,-40.00,1.3391,10055,0,931
32,3,Strategy_3949,52.24,11.76,8J4oASLBU8WdTgeRP4wiucCH4Cpn272R47W9JmduBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-09T00:31:37.000Z,0.00020862,0.00012517,0.6000,-40.00,1.7041,10045,625,465
33,3,Strategy_3949,52.24,11.76,HHxGTfXuv5hL1b1k8FWf4jrafBjs2VLdi6KjrBhPpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-09T23:11:01.000Z,0.00018768,0.00011261,0.6000,-40.00,1.2414,10065,0,465
34,3,Strategy_3949,52.24,11.76,92ZcT2413ZboNzdZFzq2mrqXZeu99wc5kx2fgjMgpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-10T11:01:27.000Z,0.00058089,0.00034854,0.6000,-40.00,1.1137,10075,40,402
35,3,Strategy_3949,52.24,11.76,FYXnJhgLmhcELqsKyAfdKZExFfA7gaskQa5TuEZE9RZT,UNKNOWN,Unknown Token,solana,Unknown,2025-08-10T15:49:06.000Z,0.00101699,0.00061019,0.6000,-40.00,1.1751,10030,130,635
36,3,Strategy_3949,52.24,11.76,FTggXu7nYowpXjScSw7BZjtZDXywLNjK88CGhydDGgMS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-11T12:58:20.000Z,0.00037506,0.00022503,0.6000,-40.00,16.0746,10020,1020,458
37,3,Strategy_3949,52.24,11.76,3gLJDi8BnPQRhGGuY8PCrZbUG9ZDvKxj8SKh7gPMiqgS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-11T17:27:14.000Z,0.00058445,0.00035067,0.6000,-40.00,1.6018,10050,1710,234
38,3,Strategy_3949,52.24,11.76,H8xQ6poBjB9DTPMDTKWzWPrnxu4bDEhybxiouF8Ppump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-11T17:59:17.000Z,0.06378801,0.05532745,0.8674,-13.26,1.2222,10020,6360,402
39,3,Strategy_3949,52.24,11.76,zJQQ2zZ5ggJKXBpaNNxJdmB2JJodJJvudQUbyZQpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-11T22:35:46.000Z,0.00140323,0.00084194,0.6000,-40.00,1.6700,10040,75,919
40,3,Strategy_3949,52.24,11.76,C6TSrLYAqL8RRMU9hrSZAzY49bCiyXH1TGVYpAF4LpaQ,UNKNOWN,Unknown Token,solana,Unknown,2025-08-12T11:55:24.000Z,0.00004165,0.00002499,0.6000,-40.00,1.2326,10020,0,234
41,3,Strategy_3949,52.24,11.76,9VyGv7D8YTiWN4ci1WSNVpAZmAtc6cxrbMs3F7FK6VLA,UNKNOWN,Unknown Token,solana,Unknown,2025-08-12T14:36:50.000Z,0.00004261,0.00002556,0.6000,-40.00,1.3204,10040,60,234
42,3,Strategy_3949,52.24,11.76,Boun7CYwd668AbxSQDNTijzEmweY91cW6DKuwAbJBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-12T14:52:35.000Z,0.00015374,0.00009225,0.6000,-40.00,2.5019,10025,845,695
43,3,Strategy_3949,52.24,11.76,Dk3eGnQcc17xJzGib8xHDovL5UjPWZDvTZXXzf6Mpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-12T22:20:07.000Z,0.00016526,0.00009916,0.6000,-40.00,1.1494,10055,0,234
44,3,Strategy_3949,52.24,11.76,BVPVnNJ7AjYscfdJrUPV7P6XFEkVDo1YnJMin7YoBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-12T23:10:13.000Z,0.00014014,0.00008409,0.6000,-40.00,1.1644,10065,0,234
45,3,Strategy_3949,52.24,11.76,5V1HCmgWNR4FdJmhy5ny2kdxsoB2NPrV9LX4d3GXpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-13T06:32:34.000Z,0.00004687,0.00002812,0.6000,-40.00,2.9458,10045,385,234
46,3,Strategy_3949,52.24,11.76,EuwaFjov8s9EMsQ3EYF55S9HnGxShB9w3WvrpV8rpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-14T02:21:42.000Z,0.00027005,0.00016203,0.6000,-40.00,1.5203,10055,25,234
47,3,Strategy_3949,52.24,11.76,32nNtYR8h8rRBKv8JQd2PM1XroBh8rQica5JWmgpBAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-14T19:44:10.000Z,0.00119559,0.00071736,0.6000,-40.00,1.1390,10035,15,402
48,3,Strategy_3949,52.24,11.76,BGQeuBCLEtLzBD9QUMykinkY5XXNk7oK3Xiem92opump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-14T20:08:17.000Z,0.00015298,0.00009179,0.6000,-40.00,5.5541,10070,20,234
49,3,Strategy_3949,52.24,11.76,G1DXVVmqJs8Ei79QbK41dpgk2WtXSGqLtx9of7o8BAGS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-14T22:16:52.000Z,0.00658731,0.00395238,0.6000,-40.00,1.5930,10060,0,699
50,3,Strategy_3949,52.24,11.76,CH29CmCw1HK5ennwEFu7RGbbguUWwno81zxk9S5pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-15T14:25:50.000Z,0.00021285,0.00012771,0.6000,-40.00,1.8263,10050,10,455
51,3,Strategy_3949,52.24,11.76,EZC9he3789GZK4teWj2uDniP86cPiqHrC12ea7qLpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-15T18:35:49.000Z,0.00004627,0.00002776,0.6000,-40.00,6.2748,10040,85,234
52,3,Strategy_3949,52.24,11.76,3hFEAFfPBgquhPcuQYJWufENYg9pjMDvgEEsv4jxpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-16T08:42:38.000Z,0.00020935,0.00034471,1.6466,64.66,8.6150,10035,6675,468
53,3,Strategy_3949,52.24,11.76,98grnXKE6oaymTBUnhkurXzXUYfFbkzzzVwEzFxSpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-16T12:13:51.000Z,0.00002074,0.00001244,0.6000,-40.00,2.6398,10065,180,467
54,3,Strategy_3949,52.24,11.76,6Hi2PPiqkwYBY2vxbn1oasbTknvsWRZvNL3PjKZnpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-16T12:27:06.000Z,0.00405962,0.00243577,0.6000,-40.00,1.3387,10050,50,457
55,3,Strategy_3949,52.24,11.76,EaDVr42iPXmaWYeZ4zoGfPhw7r449FymN9vfGntDpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-16T18:37:43.000Z,0.00003865,0.00002319,0.6000,-40.00,1.0015,10040,0,234
56,3,Strategy_3949,52.24,11.76,8D9CZBsMocuJ8bdnpegGE8auHdFQ1Ez5F66wWAFv3WcN,UNKNOWN,Unknown Token,solana,Unknown,2025-08-17T10:09:49.000Z,0.00066706,0.00041385,0.6204,-37.96,1.1372,10070,5,234
57,3,Strategy_3949,52.24,11.76,J8EcXP9L3YqGf1VWkXhRjPHnq4UJ6QHRaQEZayBciaxT,UNKNOWN,Unknown Token,solana,Unknown,2025-08-17T18:33:58.000Z,0.00045739,0.00027443,0.6000,-40.00,1.4136,10045,30,433
58,3,Strategy_3949,52.24,11.76,HoQYRCnUeyZZyFiPtYDw48kHyGwjsaUXJxDVtxcK4yPg,UNKNOWN,Unknown Token,solana,Unknown,2025-08-17T18:34:35.000Z,0.00222515,0.00133509,0.6000,-40.00,1.0262,10045,10,570
59,3,Strategy_3949,52.24,11.76,EG6WeiR2DymUVVjNHEU4MEJXmWnzXJhk3JerRy4gpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-17T19:51:44.000Z,0.00151143,0.00090686,0.6000,-40.00,1.7952,10025,1865,855
60,3,Strategy_3949,52.24,11.76,GGQnvZju6xqvgGU5BN3rnKnQ5H4LyKRLBy25LGeDpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-18T02:55:26.000Z,0.00005606,0.00003364,0.6000,-40.00,1.6470,10020,5,234
61,3,Strategy_3949,52.24,11.76,HhJ5gsWi1nvDFza5MNxNvjjx6bsx1mPUdRvpMCtzL777,UNKNOWN,Unknown Token,solana,Unknown,2025-08-19T16:26:14.000Z,0.00006372,0.00003823,0.6000,-40.00,4.2367,10050,135,444
62,3,Strategy_3949,52.24,11.76,4LRePMApBS2HFfX4ZDZK61n87CJ7rAMuN8ZHNQQXjupx,UNKNOWN,Unknown Token,solana,Unknown,2025-08-19T19:15:57.000Z,0.00019143,0.00052020,2.7174,171.74,3.5463,10060,7000,234
63,3,Strategy_3949,52.24,11.76,Co4692bPPQXAqqxSLAeTTvF1bnhY26FUWt2YuWQPBgfU,UNKNOWN,Unknown Token,solana,Unknown,2025-08-19T23:24:45.000Z,0.00078323,0.00075664,0.9661,-3.39,1.9260,10055,5075,380
64,3,Strategy_3949,52.24,11.76,5SmTatunpUm5ob6CKa1qx3bE5xJo8bpavno7iqokpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T11:51:46.000Z,0.00004948,0.00002969,0.6000,-40.00,1.1540,10025,105,234
65,3,Strategy_3949,52.24,11.76,6XfcSDmRXm8EipmbygHJi2tWwUdCCKEGjEsKQeL9pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T13:15:34.000Z,0.00022280,0.00013368,0.6000,-40.00,1.7626,10060,0,234
66,3,Strategy_3949,52.24,11.76,6pvtv14ye2nvxqCR8fc8y7TTU6SkLGyaSVnVNS9V6777,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T16:49:50.000Z,0.00514319,0.00308592,0.6000,-40.00,1.5689,10030,670,234
67,3,Strategy_3949,52.24,11.76,HcTwgEvBYzopr3LYXqikFpf37XhtPYVwkibCqvM3H8sV,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T17:33:38.000Z,0.00006083,0.00006870,1.1294,12.94,13.7078,10045,85,700
68,3,Strategy_3949,52.24,11.76,4hPn7KMF8CT6dDWVMC8adPW4hXqTgdtRtnmqcqSM4777,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T18:22:43.000Z,0.00017726,0.00010635,0.6000,-40.00,1.0188,10055,5,234
69,3,Strategy_3949,52.24,11.76,9Xw3areGS4XkLi16WJWTSdvLXxvv57An9czTwZBfpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T18:40:07.000Z,0.00010108,0.00018121,1.7927,79.27,3.0176,10035,120,468
70,3,Strategy_3949,52.24,11.76,i1f1o1sxUeqizm8pGTnvcF859QdvwPEAQnA935fpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-20T18:40:30.000Z,0.00032355,0.00019413,0.6000,-40.00,1.4234,10035,15,234
71,3,Strategy_3949,52.24,11.76,EwEJ5R1im54MowvsGwYUkyfWRMV1qcRL21PumVd4pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-21T00:41:44.000Z,0.00013622,0.00008173,0.6000,-40.00,1.2504,10035,15,701
72,3,Strategy_3949,52.24,11.76,6d2Wze1KMUxQ28sFLrH9DKfgBXpUJSJYZaRbufucvBLV,UNKNOWN,Unknown Token,solana,Unknown,2025-08-22T13:45:04.000Z,0.00063454,0.00141806,2.2348,123.48,2.9529,10030,7750,234
73,3,Strategy_3949,52.24,11.76,97B5LdjdeqfAY7gPPt428GdpYFEJuxWgG83QgZpNpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-22T15:10:27.000Z,0.00027970,0.00016782,0.6000,-40.00,2.2424,10065,155,234
74,3,Strategy_3949,52.24,11.76,bS3Y8KCfYmMC93sSc4qQMivQzTu48qnZqjuYbUopump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-22T20:49:08.000Z,0.00105014,0.00063008,0.6000,-40.00,1.5392,10030,260,234
75,3,Strategy_3949,52.24,11.76,7nsbGjYk85fkDk1uNFqVCyLZYtXxiZoLZncfLLC7pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-23T11:51:57.000Z,0.00016780,0.00010068,0.6000,-40.00,1.6457,10025,255,467
76,3,Strategy_3949,52.24,11.76,rWqaZ3KaJaiKtVEQo4nuEsxKKr2tHtoeYMf1vVveDjS,UNKNOWN,Unknown Token,solana,Unknown,2025-08-23T15:10:56.000Z,0.00035824,0.00021495,0.6000,-40.00,2.7824,10065,1305,460
77,3,Strategy_3949,52.24,11.76,5ryWMZbrfyjzrBKFYxAvon26FEwJZrtPiHQwb1jH8777,UNKNOWN,Unknown Token,solana,Unknown,2025-08-24T14:39:56.000Z,0.00040332,0.00024199,0.6000,-40.00,1.2258,10040,380,234
78,3,Strategy_3949,52.24,11.76,EJRs2ephB8kZX1w196DBt7q3uvLAVqs6LEVgXEwhpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-24T15:35:39.000Z,0.00129936,0.00077962,0.6000,-40.00,1.6729,10040,110,234
79,3,Strategy_3949,52.24,11.76,7woPKwozDM1mFeJAiJcEU8Fd3CvbYXVfwnC3W56RndFi,UNKNOWN,Unknown Token,solana,Unknown,2025-08-24T17:29:25.000Z,0.00485306,0.00291184,0.6000,-40.00,1.3472,10050,105,234
80,3,Strategy_3949,52.24,11.76,HeHzXrdq9mutDFJ2LEGu2fKp7jsnT2toCKfuPswypump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-24T23:47:55.000Z,0.00019638,0.00011783,0.6000,-40.00,2.3827,10030,430,234
81,3,Strategy_3949,52.24,11.76,cFXwo8FqJxZeYNwrUf5xSABJZoCHnrtKiS7DaFyCoiN,UNKNOWN,Unknown Token,solana,Unknown,2025-08-24T23:48:07.000Z,0.29075626,0.30717094,1.0565,5.65,33.5160,10030,1090,462
82,3,Strategy_3949,52.24,11.76,FFgQ6kvsHKR4BVLohpmCA9MXeXPtxa7QaNWKpYjzpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-25T07:32:29.000Z,0.00002694,0.00001617,0.6000,-40.00,4.2112,10045,110,234
83,3,Strategy_3949,52.24,11.76,GEgsZXGhMGJbb9k6b7SaPss7wRW5WHwB12mLAjbdpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-25T09:06:01.000Z,0.00010709,0.00006425,0.6000,-40.00,1.3988,10070,50,234
84,3,Strategy_3949,52.24,11.76,J7CSUzsM2VfBUaeaer5aGVVLzzUoizBWF1vQX2NLpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-25T21:02:26.000Z,0.00029991,0.00017994,0.6000,-40.00,11.9982,10075,1135,234
85,3,Strategy_3949,52.24,11.76,5EkcKr582FkAPVnRmaDdnkekTtnNRzNNSxmQxqrFpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-25T23:57:18.000Z,0.00040538,0.00030951,0.7635,-23.65,2.0209,10020,840,677
86,3,Strategy_3949,52.24,11.76,44sVpouhWHXzADVsVUo863tvgmaw6LNQo25fYRs1pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-26T00:43:03.000Z,0.00083097,0.00049858,0.6000,-40.00,1.7896,10035,5,466
87,3,Strategy_3949,52.24,11.76,kLxcxtkxsrTXQnffM6QQBgv6SX3gYMVx9w14LZZpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-26T01:13:36.000Z,0.00020577,0.00012346,0.6000,-40.00,1.4090,10065,270,467
88,3,Strategy_3949,52.24,11.76,9uDHmr4h2R6h6mTdhdzXGsT6abRMfx8N3rQxRB2Fpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-26T07:30:16.000Z,0.00125989,0.00075593,0.6000,-40.00,1.9769,10045,290,690
89,3,Strategy_3949,52.24,11.76,CXbypcjnbV7A5b6XqfkUCUkLiD3czHXoxAsWBYa4pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-26T15:15:18.000Z,0.00048920,0.00029352,0.6000,-40.00,1.5557,10060,125,234
90,3,Strategy_3949,52.24,11.76,9am6SZQqUM5hMomurts3iuUQULEwqsSEdQSkVc9Vpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-26T15:34:57.000Z,0.00022437,0.00013462,0.6000,-40.00,1.2766,10045,0,234
91,3,Strategy_3949,52.24,11.76,5Tr7EC7GyzEg5AKrMYPHa61uGEFwMo5V1fRtnqpxpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-26T21:33:37.000Z,0.00000492,0.00000431,0.8756,-12.44,1.4487,10045,9805,234
92,3,Strategy_3949,52.24,11.76,DxiYSR3KTArNUyQWSXJKAxbu73NUKds64EG9dQNEpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-27T01:13:01.000Z,0.00181908,0.00109145,0.6000,-40.00,1.2805,10065,0,466
93,3,Strategy_3949,52.24,11.76,EPVXXm1NH7z9pxtuRff3LHt8bkY8Ui4BXT5eVTUS7EA3,UNKNOWN,Unknown Token,solana,Unknown,2025-08-27T09:04:03.000Z,0.00036566,0.00021940,0.6000,-40.00,1.8898,10075,835,234
94,3,Strategy_3949,52.24,11.76,B3zWuNcVQK9YVHngeDH7UFwsmudWnNhFn89T1AQcpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-27T14:59:14.000Z,0.00062942,0.00037765,0.6000,-40.00,4.6560,10020,55,701
95,3,Strategy_3949,52.24,11.76,CDnLCT7tNSubuQKdLwQjsKJQVsTS7YFfusHXDFQupump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-27T20:53:32.000Z,0.00017567,0.00010540,0.6000,-40.00,1.1207,10025,0,234
96,3,Strategy_3949,52.24,11.76,51Yc9NkkNKMbo31XePni6ZFKMFz4d6H273M8CRhCpump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-27T21:43:55.000Z,0.00042591,0.00025555,0.6000,-40.00,3.4830,10035,285,234
97,3,Strategy_3949,52.24,11.76,Ba8JAE3h9YUQnkMFEDdX261Zu8nWpYN7zhad7pYKdaos,UNKNOWN,Unknown Token,solana,Unknown,2025-08-27T23:04:05.000Z,0.00042716,0.00025629,0.6000,-40.00,1.4411,10075,475,234
98,3,Strategy_3949,52.24,11.76,6cyNW42LiScbpQAQfFMFJ3s4z4zcqXdPpSRKsjRJ8Lhv,UNKNOWN,Unknown Token,solana,Unknown,2025-08-28T10:48:14.000Z,0.00017835,0.00011417,0.6402,-35.98,1.5195,10030,7630,234
99,3,Strategy_3949,52.24,11.76,FvbZG7ApFyjM9tq4waRpANCws2qqPZCfb46qMqTDYtLw,UNKNOWN,Unknown Token,solana,Unknown,2025-08-29T09:02:49.000Z,0.00045467,0.00027280,0.6000,-40.00,1.8968,10075,415,234
100,3,Strategy_3949,52.24,11.76,EqGEH6P8BwcHN1xiErPMwWf4QT6f8ZHH58QcWif9pump,UNKNOWN,Unknown Token,solana,Unknown,2025-08-29T16:14:11.000Z,0.00044016,0.00026410,0.6000,-40.00,1.1456,10065,5,234
101,3,Strategy_3949,52.24,11.76,Hcn43x1SnXZrRD9f6tuzv94qT51QoRHhaG7ALK7wMGF,UNKNOWN,Unknown Token,solana,Unknown,2025-08-30T18:54:07.000Z,0.00026746,0.00016047,0.6000,-40.00,1.8963,10025,25,463
