Caller,Strategy,Description,TotalTrades,WinRate,FinalPortfolio,TotalReturn,MaxDrawdown,AvgPnlPerTrade
exy,Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",24,4.17,58.28,-41.72,41.72,-8.69
exy,Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",24,8.33,59.11,-40.89,40.89,-17.04
exy,Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",24,8.33,72.74,-27.26,27.26,-17.04
exy,TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",24,25.00,87.47,-12.53,19.67,-5.22
exy,TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",24,20.83,100.34,0.34,11.06,0.14
exy,TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",24,12.50,96.51,-3.49,26.81,-1.45
exy,Trailing_6h_20pctSL_25pctTrail_50pctActivate,"Hold 6h, 20% SL, 25% trailing stop (activates at 50% gain)",24,25.00,81.31,-18.69,20.72,-7.79
exy,Trailing_24h_20pctSL_30pctTrail_100pctActivate,"Hold 24h, 20% SL, 30% trailing stop (activates at 100% gain)",24,20.83,80.35,-19.65,21.57,-8.19
exy,Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",19,10.53,66.36,-33.64,33.64,-17.70
exy,Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",15,6.67,71.94,-28.06,28.06,-18.71
exy,Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",18,0.00,62.56,-37.44,37.44,-20.80
exy,Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",13,0.00,72.96,-27.04,27.04,-20.80
exy,MultiTrade_10pctTrail_50pctDropRebound_24h,"Multi-trade: 10% trailing stop, re-enter after 50% drop from peak + 20% rebound",42,50.00,133.07,33.07,3.03,7.87
exy,MultiTrade_15pctTrail_50pctDropRebound_24h,"Multi-trade: 15% trailing stop, re-enter after 50% drop from peak + 20% rebound",37,40.54,113.77,13.77,6.05,3.72
exy,MultiTrade_20pctTrail_50pctDropRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 50% drop from peak + 20% rebound",31,29.03,100.02,0.02,11.54,0.01
exy,MultiTrade_25pctTrail_50pctDropRebound_24h,"Multi-trade: 25% trailing stop, re-enter after 50% drop from peak + 20% rebound",31,25.81,88.82,-11.18,14.72,-3.61
exy,MultiTrade_30pctTrail_50pctDropRebound_24h,"Multi-trade: 30% trailing stop, re-enter after 50% drop from peak + 20% rebound",31,25.81,85.18,-14.82,16.26,-4.78
exy,MultiTrade_35pctTrail_50pctDropRebound_24h,"Multi-trade: 35% trailing stop, re-enter after 50% drop from peak + 20% rebound",31,22.58,72.49,-27.51,28.14,-8.87
exy,MultiTrade_40pctTrail_50pctDropRebound_24h,"Multi-trade: 40% trailing stop, re-enter after 50% drop from peak + 20% rebound",32,28.13,68.10,-31.90,31.93,-9.97
exy,MultiTrade_20pctTrail_40pctDrop15pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 40% drop from peak + 15% rebound",24,20.83,88.77,-11.23,11.23,-4.68
exy,MultiTrade_20pctTrail_60pctDrop25pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 60% drop from peak + 25% rebound",24,20.83,88.77,-11.23,11.23,-4.68
exy,MultiTrade_20pctTrail_45pctDrop18pctRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 45% drop from peak + 18% rebound",24,20.83,88.77,-11.23,11.23,-4.68
exy,MultiTrade_15pctTrail_RSI_MACD_24h,"Multi-trade: 15% trailing stop, re-enter using RSI/MACD signals",35,31.43,91.41,-8.59,8.95,-2.45
exy,MultiTrade_20pctTrail_RSI_MACD_24h,"Multi-trade: 20% trailing stop, re-enter using RSI/MACD signals",29,17.24,79.80,-20.20,20.20,-6.97
exy,MultiTrade_25pctTrail_RSI_MACD_24h,"Multi-trade: 25% trailing stop, re-enter using RSI/MACD signals",29,17.24,74.82,-25.18,25.21,-8.68
exy,MultiTrade_30pctTrail_RSI_MACD_24h,"Multi-trade: 30% trailing stop, re-enter using RSI/MACD signals",31,22.58,80.30,-19.70,23.35,-6.35
exy,MultiTrade_15pctTrail_MA_24h,"Multi-trade: 15% trailing stop, re-enter using MA crossovers",34,29.41,91.03,-8.97,10.75,-2.64
exy,MultiTrade_20pctTrail_MA_24h,"Multi-trade: 20% trailing stop, re-enter using MA crossovers",29,17.24,80.20,-19.80,19.80,-6.83
exy,MultiTrade_25pctTrail_MA_24h,"Multi-trade: 25% trailing stop, re-enter using MA crossovers",29,17.24,70.75,-29.25,29.28,-10.09
