Strategy,Description,NumCallers,TotalTrades,AvgReturn%,SuccessRate%,BestReturn%,WorstReturn%,AvgMaxDD%,AvgWinRate%,PositiveCallers,NegativeCallers
MultiTrade_20pctTrail_50pctDropRebound_24h,"Multi-trade: 20% trailing stop, re-enter after 50% drop from peak + 20% rebound",7,2323,761.59,100.0,2121.14,128.36,4.86,42.64,7,0
MultiTrade_20pctTrail_RSI_MACD_24h,"Multi-trade: 20% trailing stop, re-enter using RSI/MACD signals",7,2127,177.26,100.0,360.73,53.87,11.8,33.23,7,0
MultiTrade_20pctTrail_MA_24h,"Multi-trade: 20% trailing stop, re-enter using MA crossovers",7,2059,165.03,100.0,321.46,53.9,12.2,31.91,7,0
Trailing_6h_20pctSL_25pctTrail_50pctActivate,"Hold 6h, 20% SL, 25% trailing stop (activates at 50% gain)",7,1463,97.47,100.0,212.92,17.51,28.44,29.11,7,0
Trailing_24h_20pctSL_30pctTrail_100pctActivate,"Hold 24h, 20% SL, 30% trailing stop (activates at 100% gain)",7,1463,-32.48,28.57,38.38,-90.58,88.89,14.45,2,5
TP_6h_20pctSL_50pctTP,"Hold 6h, 20% SL, 50% TP",7,1463,-102.82,0.0,-57.66,-244.8,104.59,22.95,0,7
TP_6h_20pctSL_100pctTP,"Hold 6h, 20% SL, 100% TP",7,1463,-129.18,0.0,-50.8,-245.15,129.6,13.17,0,7
TP_24h_20pctSL_200pctTP,"Hold 24h, 20% SL, 200% TP",7,1463,-158.21,0.0,-54.63,-303.98,161.12,7.44,0,7
Basic_6h_20pctSL_30pctClamp,"Hold 6h, 20% SL, 30% loss clamp",7,1463,-175.68,0.0,-19.93,-443.07,195.73,5.99,0,7
Basic_6h_20pctSL_20pctClamp,"Hold 6h, 20% SL, 20% loss clamp",7,1463,-263.52,0.0,-29.89,-664.61,289.53,5.99,0,7
Dip_20pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 20% drop, re-enter when price rebounds to alert level, hold 6h",7,1124,-271.45,0.0,-164.46,-487.71,259.64,2.24,0,7
Dip_30pctDrop_ReboundToMinus10pct_6h,"Buy dip: Wait for 30% drop, re-enter when price rebounds to -10% of alert, hold 6h",7,1024,-276.94,0.0,-147.72,-562.49,274.45,1.94,0,7
Dip_10pctDrop_ReboundToAlert_6h,"Buy dip: Wait for 10% drop, re-enter when price rebounds to alert level, hold 6h",7,1309,-284.75,0.0,-166.9,-539.68,277.83,4.05,0,7
Dip_40pctDrop_ReboundToMinus30pct_24h,"Buy dip: Wait for 40% drop, re-enter when price rebounds to -30% of alert, hold 24h",7,1162,-325.9,0.0,-166.45,-675.67,323.26,1.05,0,7
Basic_6h_10pctSL_10pctClamp,"Hold 6h, 10% SL, 10% loss clamp",7,1463,-337.64,0.0,-54.22,-709.02,344.66,2.99,0,7
